label,tweet,,
0,We want justice for #sidhumoosewala #JusticeForSidhuMooseWala🙏 #JusticeForSidhuMooseWala 🙏\n@PunjabGovtIndia… https://t.co/GqByDS33Tr,@WeANONYMOUS_US Protect little brother protect the dog protect the cat protect the ant protect the plants protect mother Earth,3NOX6XON9
1,RT @SecCardona: A cleaner bus fleet allows us to protect students &amp; the earth. School districts can now apply for funding to purchase clean…,,
1,RT @SecCardona: A cleaner bus fleet allows us to protect students &amp; the earth. School districts can now apply for funding to purchase clean…,,
0,A cleaner bus fleet allows us to protect students &amp; the earth. School districts can now apply for funding to purcha… https://t.co/jww1rdGDf4,,
-1,"Roughly one billion sea creatures baked to death on the west coast during last year’s heat dome. This week,… https://t.co/BewfTmu5lO",,
-1,"@EOWilsonFndtn By \we\""",nodealfornature,
1,This movie will be amazing. Gohan &amp; Piccolo will be the sworn protectors of the earth. Goku &amp; Vegeta will go on to… https://t.co/SzJhbvnxF3,,
-1,"@BrianNakibinge @KOmukungu @britneyspears Because why on earth after ALLLLL the torment, trauma and just plain tort… https://t.co/1yNy4tJB0S",,
1,"“However, world leaders cannot suggest they will protect Mother Earth—which is how many Indigenous cultures speak o… https://t.co/KU8BN3AUQs",,
1,RT @JsrShrivastava: 🔰Environment plays an important role in living &amp; the existence of life on planet earth.\nEarth is a home for different l…,,
1,@StevenErtelt Praise be to God protect these innocent children God created for HIS purpose on earth,,
0,@SweetJesus3000 @elthesensai @TheVagabond_Jon The pro vaccinators are on the same wavelength. Believing that 3 boos… https://t.co/QGPgUOcOJW,,
1,Once again guys Thank God For letting you wake up again On this Beautiful Earth he has blessed us with again. And P… https://t.co/5oR9GWLmJg,,
0,RT @ArtistRomario: I won the ELND Vibrations African Photo Essay 4 my reforestation &amp; environmental impact in communities in Africa. 💚  Let…,,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
1,RT @climate: There are many people who can't protect themselves from the effects of climate change by simply installing an air conditioner…,,
1,@1957Attila @Reuters Russia never wants to colonize Europe; it just wants to protect itself from NATO. Don't forget… https://t.co/wpb5pekdLa,,
1,@VP you get them girl!!! only way to save earth is to protect earth....\n@GOP is embarrassing our great nation,,
-1,RT @aliyusadiq_gky: @ecocykle recently invented the Smart Mobile Bin (SMB) to help address the problem of air pollution and poor environmen…,,
0,"RT @PACJA1: Reducing #GHGs emissions in our planning, implementation, and execution of policies designed to protect the environment is what…",,
-1,"RT @BloombergTV: For Earth Day, Bloomberg Triple Take's Taylor Riggs digs into the tight rope politicians are walking as they try to protec…",,
1,Good morning GOD The MOST High and MOST Merciful; Thank for waking me up this Saturday morning and allowing my humb… https://t.co/AGNxtfdSjQ,,
1,RT @RiteBoss: My favourite beautiful sunset\n💥\n#Nature🌱#photography #Wow #Smart #life #Artistic #Art #love #Expression #biodiversity #Positi…,,
1,RT @friends_earth: Can you believe the UK is one of the most nature-deprived countries in the world? 🌳\nTogether we can demand the governmen…,,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
1,"RT @SatlokChannel: June 5 is #WorldEnvironmentDay, its theme #OnlyOneEarth calls for global, collective, transformative action to celebrate…",,
1,RT @DonCorleANN: Almost every minute on earth women are at risk of getting raped and abused. It’s no longer a case of if but when. Our safe…,,
0,RT @NagaBabuOffl: Protect &amp; Save Mother Earth\n\n#WorldEarthDay https://t.co/0w4oAGSvYh,,
1,"RT @tordotcom: In a post-eco-collapse Earth, a 13-year-old girl uses her mysterious connection to plants to protect her father and create a…",,
0,RT @duakhan2596: No power on earth can undo Pakistan.\nPak- Army will always protect us.\n#NoArmyNoPakistan https://t.co/m2IpWzlfVV,,
0,RT @road2rights: On this #WorldEnvironmentDay the theme #OnlyOneEarth is a global wake-up call to remind ourselves about what we can do col…,,
1,There are many people who can’t protect themselves from the effects of climate change by simply installing an air c… https://t.co/oQrBGUu0ZE,,
1,"@mattyglesias And? The point of colonizing Mars isn't that it's easy, or that we shouldn't protect Earth's habitabi… https://t.co/vlkQgjJEFq",,
0,RT @duakhan2596: No power on earth can undo Pakistan.\nPak- Army will always protect us.\n#NoArmyNoPakistan https://t.co/m2IpWzlfVV,,
1,RT @HaringeyBarnetU: NO 2 BURNING\nMORE WASTE IN\nN LONDON\n\nENVIRONMENTAL RACISM\nAIR POLLUTION\nCLIMATE CHANGE THREATENS EARTHS RESOURCES\nDISC…,,
1,RT @into1_official_: #INTO1 ✖ #WorldOceansDay \rOceans are home of more than half of living creatures on the earth🌊. Together with ocean Con…,,
-1,"@HotlineJosh This is abhorrent. But let me guess, conservatives suddenly find motivation to rapidly move heaven and… https://t.co/nmx4p2QDF4",,
1,@thevivafrei @JustinTrudeau Every living being on earth has an inalienable right to protect himself or herself from… https://t.co/KTDsPHsaWP,,
1,@Tenth_Pie @HermitCatholic @IAltare An excellent write-up by Introibo.  May Our Lad of Fatima pray for us and prote… https://t.co/0tXVBAgeJQ,,
0,"Same thing with my father. I tried to get them to see and protect me, but they just kept saying, “look, M, the sun… https://t.co/ZbmxFwssvn",,
1,"@_MartinRogers @niko_vangelis I doubt very much that nobody walks,swins or flies on Earth that  has much Grace,as m… https://t.co/W4GH4cHbhp",,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
1,RT @DotAllisonmusic: Can anyone who wants to raise awareness of the disappearance very recently of Dom Phillips and Bruno Pereira from remo…,,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
1,There are many people who can't protect themselves from the effects of climate change by simply installing an air c… https://t.co/DkTsvPpREQ,,
0,RT @okramami: so does Russia have a COVID testing protocol to even protect she troops i.e. regular testing for everybody especially if they…,,
0,RT @iingwen: An honour &amp; responsibility to speak out for all those fighting for freedom worldwide. #Ukraine’s defense of democracy inspires…,,
1,Let’s take a moment to celebrate the incredible diversity of life on Earth 🌎 and take action to protect it. 🛡️\nExpl… https://t.co/3DoH9hpx5o,,
1,RT @friends_earth: Can you believe the UK is one of the most nature-deprived countries in the world? 🌳\nTogether we can demand the governmen…,,
1,RT @DotAllisonmusic: Can anyone who wants to raise awareness of the disappearance very recently of Dom Phillips and Bruno Pereira from remo…,,
1,NO 2 BURNING\nMORE WASTE IN\nN LONDON\n\nENVIRONMENTAL RACISM\nAIR POLLUTION\nCLIMATE CHANGE THREATENS EARTHS RESOURCES\nD… https://t.co/BXOiuAKZl4,,
1,RT @DotAllisonmusic: Can anyone who wants to raise awareness of the disappearance very recently of Dom Phillips and Bruno Pereira from remo…,,
1,RT @into1_official_: #INTO1 ✖ #WorldOceansDay \rOceans are home of more than half of living creatures on the earth🌊. Together with ocean Con…,,
1,@asadowaisi \nLion of India \nGreat personality on earth today\nMay Allah protect you and gives you more power \nLove from Nepal,,
1,Can anyone who wants to raise awareness of the disappearance very recently of Dom Phillips and Bruno Pereira from r… https://t.co/RTDJ4ix9xu,,
0,@Stephen37846115 @dem_cath @acgrayling How on earth did you get there?\nIt is saying we need to protect democracy fr… https://t.co/NIRbCEtesT,,
-1,@SLOplays Please let’s not have gohan stop training after this though to me at least if wouldn’t make sense he has… https://t.co/Q2YojuKNtl,,
1,"RT @CenterForBioDiv: We and @CenterEnvHealth just sued the @EPA for failing to protect Los Angeles, Sacramento &amp; New Hampshire from dangero…",,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
1,RT @ChouhanShivraj: Pujya @SadhguruJV Ji Pranam 🙏🏽\n\n।। पवित्रेण पृथिवि मोत्पुनामि ।।\n\nWe are fortunate to have been blessed with your estee…,,
-1,"RT @AkashaUnleashed: Humans merely share the earth. We can only protect the land, not own it. — Chief Seattle",,
0,RT @duakhan2596: No power on earth can undo Pakistan.\nPak- Army will always protect us.\n#NoArmyNoPakistan https://t.co/m2IpWzlfVV,,
0,"RT @GomesYasaswi: \This planet produced us as its offspring cause Earth is a mother who likes her home to be bustling with children\"" - Prot…""",,
1,RT @KiiTIntSchool: World Environment Day is a reminder to take good care of our Earth. \n\nThis year's theme #OnlyOneEarth urges mankind to t…,,
1,God the men you put on earth 2 hunt and protect women are now making Thirst Traps on social media😕,,
1,@JesusIsKing1234 @7HermeticLaws @TNTJohn1717 May Almighty God and Jesus Christ bless and protect all of the good pe… https://t.co/3tNYebxYjR,,
0,No power on earth can undo Pakistan.\nPak- Army will always protect us.\n#NoArmyNoPakistan https://t.co/m2IpWzlfVV,,
1,Whether I think God is real or not is outside my opinion on religion.\n\nReligion has always been used to control beh… https://t.co/ySZApFV0cq,,
1,"@LisaChristiePhD I've heard and felt the earth as a loving but angry mother saying \I will protect ALL my children… https://t.co/wCtNhgKVZ7""",,
0,"RT @cleanganganmcg: From the oxygen we breathe to the food we eat, the ocean provides a plethora of invaluable resources. \n\nThis #WorldOcea…",,
1,"RT @vpeuHWNkcn3TgSk: 「平和と地球を守るのは人間の『義務』自由を守るのは人間の『権利』」\It is human\"" duty \""to protect peace and the earth",syoji_t,
1,RT @friends_earth: Can you believe the UK is one of the most nature-deprived countries in the world? 🌳\nTogether we can demand the governmen…,,
0,"No person on earth is above the law, however, the law does not take the place of family. And that’s why some of us… https://t.co/v3YWnnWjGA",,
0,از دیگران شکایت نمی کنم بلکه خود را تغییر می دهم. برای محافظت از پایم، پوشیدن کفش آسان تر از فرش کردن کل زمین است.… https://t.co/1tOOHmaZgM,,
1,There are many people who can’t protect themselves from the effects of climate change by simply installing an air c… https://t.co/LjR2h94VO6,,
0,RT @spilltechevent: Earth will never be the same if our oceans will not be there. They are the source of life &amp; source of hope for us. Let…,,
1,"RT @jasmeen_engin: A masterpiece that walks on the earth, may God protect him and protect his beautiful talent and give him full health alw…",,
1,RT @CityLab: There are many people who can't protect themselves from the effects of climate change by simply installing an air conditioner…,,
1,"RT @DxEverywhere: Fishes are sentient &amp; intelligent beings, integral to the earth’s ecosystem. Our current fish consumption patterns aren't…",,
1,"RT @jasmeen_engin: A masterpiece that walks on the earth, may God protect him and protect his beautiful talent and give him full health alw…",,
-1,RT @Dev_Fadnavis: Every life on earth is facing extreme effects of environmental imbalance.\nLet us work hard by all probable ways to protec…,,
1,punishments in the provinces and parts where they commit.\ The Church's condemnation was intense,espanasafica,
0,"@jaeger_dg @AP I wasn’t gonna do this, but the only person on this earth with the authority to deploy US troops to… https://t.co/TgJ2X3FE9R",,
1,If you wage war against Indian state\n\n There's no power on earth that will protect you \n\nBe sure https://t.co/dLBj7JkAca,,
0,"The United States Government has a #Duty to warn, a mandate to provide #protection for the living, &amp; the responsibi… https://t.co/iq4hnf23tV",,
1,"RT @jasmeen_engin: A masterpiece that walks on the earth, may God protect him and protect his beautiful talent and give him full health alw…",,
0,"@KristinaKepic @RogerWaltersIII @BetoORourke So your answer to \protect your family from violence\"" is to Not have a… https://t.co/BqDimIlnhc""",,
1,"A masterpiece that walks on the earth, may God protect him and protect his beautiful talent and give him full healt… https://t.co/mqfkyVJ4Jk",,
1,They are fighting a deadly war to protect Earth's most precious habitats -- but they can't do it alone. Here's how… https://t.co/gsmn6NHVSR,,
0,"RT @JPNadda: On this #WorldEnvironmentDay, let us all bow to show respect to our Mother Earth and reaffirm our pledge to protect the enviro…",,
1,"Yes, only one Earth, we should have protect it's Soil.\nAction Now: https://t.co/DQoVU61MM6\n #SaveSoil… https://t.co/f4F0zkCrIt",,
-1,RT @RepAdamSchiff: There's no sugar-coating it: The climate crisis is here – and our planet is in trouble.\n\nBut it's not too late to act.…,,
1,@operationSIN We all are the team of  chosen ones from whole world to save the world from prototypes who are the al… https://t.co/DoQgNZDTXV,,
0,RT @HuobiGlobal: We have #OnlyOneEarth 🌎\n\nToday we thank everyone who helps protect and restore planet earth! 💚\n\n#WorldEnvironmentDay x #Hu…,,
1,Someone on earth 🌍 protect me from this heat plssss!!!🥲\n\n47 degrees is too much to survive😟😕💔 https://t.co/jrWNDj7aAp,,
1,"RT @DonAlbertson1: @JohnKen77374333 Pray for those who work tirelessly, place themselves in great danger and do it for The Greatest Nation…",,
1,"RT @DonAlbertson1: @JohnKen77374333 Pray for those who work tirelessly, place themselves in great danger and do it for The Greatest Nation…",,
1,"Take a coffee and enjoy the weekend☕☕☕, using paper cups and lids instead of plastic ones to protect our earth.🌱🌱🌱… https://t.co/Q4B76V6uXD",,
1,"@SOOBlNNI HE IS INDEED SO CUTE, THE CUTEST ONE ON EARTH!! MUST PROTECT AT ALL COST 🥺🥹 \n\nSee?? He's so cute and soft… https://t.co/ZC8v6XnB4v",,
1,RT @BloombergAsia: There are many people who can’t protect themselves from the effects of climate change by simply installing an air condit…,"RT @hgenocidewatch: #Maharashtra\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in Mahar…",DevaSri73277454
0,RT @ayshardzn: In Malaysia 2019\nTotal population: 32.5 mil\nTotal vehicles: 31.2 mil\n\nIn 2021\nTotal population: 32.6 mil\nTotal vehicles: 33.…,,
1,"Stuck for selection? 🧐 We have over 15,000 vehicles available to hire across the nation\nFind out more here:… https://t.co/lCDUd86dpD",,
-1,RT @GVMC_VISAKHA: Zonal Commissioner VI inspected CLAP Vehicles Door to Door garbage collection and also 6created awareness on Single Use P…,,
0,RT @arpbks: @Noida7x @noidatraffic @dgpup @CP_Noida @dcptrafficnoida @Uppolice @uptrafficpolice @noidapolice @Npunjabibyheart @pragati__mis…,,
-1,"1st Commercial Credit provides financing for owner-operators, small and large fleet for all types of semi-trucks an… https://t.co/wAfedYRVGb",,
-1,"RT @MVAGovt: Akkalkuva, Nandurbar, MH:\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in…",,
0,"Why did the construction vehicles start at 6:45 today? Not by 7:30 for months, but today? When i already wanna take… https://t.co/I4xQbyz6L2",,
1,@pmbbiggsy @AAPresident @TheAA_UK @theJeremyVine @willnorman @carltonreid More deaths and serious injuries for sure… https://t.co/ccFk2I485x,,
-1,"RT @UAWeapons: #Russia: Today something happened at a military engineering vehicles park south of Klintsy, Bryansk Oblast (45 km from the U…",,
-1,"RT @UAWeapons: #Russia: Today something happened at a military engineering vehicles park south of Klintsy, Bryansk Oblast (45 km from the U…",,
0,"RT @CanadianUkrain1: #Kherson at Night:\n\nThere are sounds of gunfire almost every night now, in different parts of the city. #Russian milit…",,
-1,RT @UAWeapons: #Ukraine: A Russian rocket artillery position was completely obliterated by the Ukrainian 40th Artillery Brigade - at least…,,
0,"RT @Ollie_Cycles: \These 2 vehicles are essentially the same and should follow the same set of rules and get equal attention from law enfor…""",,
0,"RT @plantmoretrees_: @barca4442 @rajneeshmourya1 @geertwilderspvv After the friday namaz, these islamic jehadis tried to create unrest in d…",,
-1,"RT @UAWeapons: #Russia: Today something happened at a military engineering vehicles park south of Klintsy, Bryansk Oblast (45 km from the U…",,
1,RT @WILGOREN: wowwww the other side of the full stop @FOXLA #breakingnews people standing outside their vehicles waiting forever 10-freeway…,,
0,"actual killings of law enforcement, burning and pillage of federal buildings, vehicles. &amp; property  looting",,
-1,"RT @hgenocidewatch: #Maharashtra\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in Mahar…",,
0,"Dunrobin Fire Station 66 hosts its annual Firefighters' Pancake Breakfast tomorrow Sunday, June 12, 7:30 to 11:30 a… https://t.co/eO0qEHOvrp",,
0,#YogiRoxx #bulldozer #stone #UttarPradesh #शांतिसंदेश #HinduRashtra #Haryana #hindumuslim_Bhai_Bhai https://t.co/pbdjM1dqZj,,
0,"RT @NWSSanAntonio: Animals can die of heatstroke within 15 minutes, and cracking the car windows doesn’t help. NEVER leave your pets in par…",,
0,RT @sheffielduni: Powering tomorrow's electric vehicles.,,
-1,RT @rsa_trucker: At least three people have been killed when multiple vehicles collided in dense mist on the N12 at Tasbet in Emalahleni…,,
0,"In part 2 of this conversation series with Jesse Levinson, CTO and founder of @zoox, he discusses the role of intel… https://t.co/soM7OCc1Y9",,
1,@MungenastHonda love spraying an exceptional product like @AkzoNobel_AACNA Sikkens Autowave as they paint 175-180 v… https://t.co/4oYiP00nwK,,
1,at the end of the day most things are just vehicles for hummus,,
0,"RT @anifel20: PhD positions at the National University of Singapore with a start date in Jan 2023, civil engineering. July 1st is deadline…",,
-1,"Quantum computers may render digital encryption obsolete, which would make remote controlled vehicles untenable.  R… https://t.co/cmSlgKejoa",,
1,"RT @sinemi_: Valkyrie Appreciation Artwork\nSay what you want about the movie, but it had some very nice looking vehicles https://t.co/f04Pk…",,
0,@shafaqakram2 Further vehicles consumption also matter 😂 ab app cycle pr distance cover krne lg jao to alag baat hai 🤭,,
1,Now is the perfect time to purchase a new set of wheels!🌞🚘\n\nCheck out this awesome 2019 Acura ILX with tons of spor… https://t.co/oUGITct52K,,
-1,"Like it’s early in the morning, hardly any vehicles on the rd, how??",,
-1,"RT @MVAGovt: Akkalkuva, Nandurbar, MH:\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in…",,
-1,This will not be limited to CA if the push for electric vehicles continues. https://t.co/BtEd0QzjPt,,
0,"RT @NWSSanAntonio: Animals can die of heatstroke within 15 minutes, and cracking the car windows doesn’t help. NEVER leave your pets in par…",,
1,"@OUnderfolder @ryandbusse It makes PERFECT sense.\n\nLeft leaning people live in large industrial cities, where they… https://t.co/Pl03bZRDGi",,
0,World Traffic Map animation timelapse of Atlanta traffic 2022-JUN-11 from 4AM to 10AM. What traffic map do you want… https://t.co/Ok2tPKvDf8,,
-1,"RT @mhmck: Russian losses, Feb 24 to early Jun 11:\n\n~32,050 killed\n\n1,419 tanks\n3,466 armoured vehicles\n712 artillery systems\n222 rocket la…",,
1,Passing down #generationalwealth to your children and grandchildren is an incredible gift that can help provide a s… https://t.co/HIgHs7TWvP,,
-1,"@MeachamDr @Skipper6868 A person on our neighborhood  had a flag,  just taken down.  You still know who they support by their vehicles.",,
-1,RT @UAWeapons: #Ukraine: A Russian rocket artillery position was completely obliterated by the Ukrainian 40th Artillery Brigade - at least…,,
1,Take the wheel of the brand-new 2022 Avalon!\n\nShop now at #LimbaughToyota. --&gt; https://t.co/aMChkOrb5s https://t.co/nbT50kh6tI,,
0,"RT @lilygrutcher: Russian losses in Kherson province for yesterday:\n39 personnel,\n1 T-62 tank,\n7 vehicles,\n2 howitzers.\nArms depot destroye…",,
0,RT @UAWeapons: #Ukraine: The Ukrainian 40th Artillery Brigade struck Russian transport vehicles with indirect fire; several vehicles were d…,,
1,"Okay nice we rented two vehicles we have, do you ever see yourself marrying brent.\n\n#technology #artoftheday #quotes $PAXG #solana",,
0,RT @mashable: This road can charge vehicles as they drive on https://t.co/ZlFRgA95Fa,,
0,"🇬🇧🇺🇦The UK supplied Husky Tactical Support Vehicle, on its way to the frontlines.\nAltogether, the #UK has provided… https://t.co/pHTF4P8rhe",,
1,"Quick hovercraft style GEV, capable of transporting several sections of infantry (or other personnel) at high speed… https://t.co/8EXo9Pxi4Q",,
1,Are you being safe on the water? Here is an interesting article giving you some tips on how to stay safe while out… https://t.co/9seK30wOoe,,
0,"Develop your knowledge of vehicle repair and servicing with a part-time, Level 2 Car Repair and Maintenance Course… https://t.co/DHWFuObjSf",,
-1,"RT @hgenocidewatch: #Maharashtra\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in Mahar…",,
-1,"RT @hgenocidewatch: #Maharashtra\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in Mahar…",,
0,"RT @CanadianUkrain1: #Kherson at Night:\n\nThere are sounds of gunfire almost every night now, in different parts of the city. #Russian milit…",,
1,RT @britneyvinyl: #SCREAM6 1st Day of Filming:\n\nJune 10th (8:30pm - 3am)\n\n• First look at vehicles on set confirming the New York City sett…,,
0,RT @UAWeapons: #Ukraine: The 79th Air Assault Brigade of Ukraine destroyed two Russian armoured vehicles (Claimed to both be BMP-2 IFV; one…,,
-1,"@arj_lko Arjun, these vehicles are part of our rental fleet and are not available for purchase. If you are looking… https://t.co/vgyGCVxUMu",,
1,Here are some boat safety tips from your friendly neighborhood agent! \n\n#likeagoodneighbor\n#localagent… https://t.co/E0VW4aF8yY,,
1,"@pasteltiramisu @KatysCartoons Right. So many academics have jumped aboard the radical leftist train, hijacking the… https://t.co/f2TWSfLgZg",,
1,RT @ExSecular: Too many videos of fringe elements pelting stones and burning police stations and vehicles circulating on WhatsApp .. postin…,,
0,"RT @kaloyanides: June-2022, CA Residents asked to NOT charge their Electric Vehicles. \n\nWhat do you think is going to happen this year and…",,
1,RT @RadioGenova: The President of the Italian Republic in Naples escorted by 50 vehicles including two ambulances and two helicopters. Real…,,
1,RT @TheDemocrats: ✅ Electric vehicle sales have doubled since President Biden took office\n✅ More than 2 million electric vehicles are on th…,,
0,"RT @EconguyRosie: Some nifty math. When you strip out of the CPI all the items that are linked to energy (air fares, moving/freight, rental…",,
1,Looking to replace your vehicle? Check out our full inventory of new and used cars and trucks on our website at… https://t.co/bqbBWg0fLz,,
-1,"RT @UAWeapons: #Russia: Today something happened at a military engineering vehicles park south of Klintsy, Bryansk Oblast (45 km from the U…",,
1,@ZachWeiner My mother picked up a new hybrid she leased last night and made an offhand comment about electric vehic… https://t.co/8xIdrJKRAW,,
1,The Summer Sale has started at #MikeShawKia! Take home a NEW 2022 Kia Rio LX for only $149 a month. Not a lease; yo… https://t.co/MMrPqQ1VHi,,
1,"RT @JuztizeMaluleke: @mhlambi_prince The only govt department that’s corruption free. They don’t take bribes from suspects, make sure you c…",,
1,RT @Yasir_Naqvi: Great to hear the perspectives of Algonquin Chief Jocko &amp; Veldon Coburn at parliamentary committee on keeping Wellington S…,,
-1,"RT @hgenocidewatch: #Maharashtra\n\nMultiple vehicles burned down and vandalised, and also heavy stone pelting at yesterday midnight in Mahar…",,
0,ATSC 3.0 path to delivering video and data to cars still has hurdles but progressing. #ATSC #NextGenTV… https://t.co/u20uRpSJuO,,
